team_name,conference,w,l,adj_em,adj_o,adj_d,adj_tempo,luck,sos_adj_em,sos_adj_o,sos_adj_d,ncsos_adj_em
Miami OH,MAC,31,1,8.26,116.8,108.5,69.9,0.099,-5.37,107.2,112.6,-9.91
Pittsburgh,ACC,13,20,7.6,113.7,106.1,63.5,-0.067,10.84,115,104.2,0.42
South Carolina,SEC,13,19,7.54,112.5,105,66.3,-0.062,11.04,116.7,105.7,-8.78
George Mason,A10,23,9,7.5,113.1,105.6,63.3,0.054,0.39,109.7,109.3,-7.88
Xavier,BE,15,18,7.47,116.9,109.4,70.2,0.016,11.41,114,102.6,1.07
Wyoming,MWC,18,14,7.4,115.1,107.7,66,-0.024,3.96,111.7,107.8,-5.34
Oregon,B10,12,20,7.03,111.6,104.6,65.9,-0.036,12.63,116.4,103.8,1.53
Mississippi St.,SEC,13,19,7,112.7,105.7,69.6,-0.001,13.23,117.6,104.3,0.49
Kansas St.,B12,12,20,6.98,113.2,106.3,72.6,-0.074,12.99,116.1,103.1,-0.2
DePaul,BE,16,16,6.83,107.1,100.3,66.2,-0.014,7.98,113.4,105.4,-9.93
Illinois St.,MVC,20,12,6.66,110.5,103.9,66.7,-0.009,1.34,109.9,108.6,-2.8
UC Irvine,BW,23,11,6.21,104.9,98.7,68.2,-0.016,-0.7,108.4,109.1,0.61
Illinois Chicago,MVC,19,15,6.16,110.4,104.3,66.3,-0.061,1.6,110.1,108.5,-2.33
Cal Baptist,WAC,25,8,5.99,107.9,101.9,65.8,0.091,-1.95,107.1,109.1,-3.32
UNLV,MWC,17,16,5.97,115,109.1,69.8,0.003,6.44,112.4,106,1.19
Hawaii,BW,24,8,5.97,107.1,101.2,69.7,0.038,-3.37,106.6,109.9,-11.24
St. Thomas,Sum,24,9,5.88,114,108.1,68.2,-0.034,-5.66,107.3,112.9,-0.94
UNC Wilmington,CAA,26,6,5.79,111.9,106.1,65.1,0.028,-5.08,106.4,111.4,-8.33
Sam Houston St.,CUSA,22,11,5.56,113.5,107.9,70,-0.007,-0.19,109.7,109.9,6.04
Pacific,WCC,18,15,5.42,110.7,105.3,64.3,-0.02,2.91,110.5,107.6,-0.01
North Dakota State,Sum,27,7,5.13,111.7,106.6,66.3,0.04,-5.83,106.5,112.3,-0.97
Davidson,A10,20,13,4.94,109.6,104.7,63.6,0.033,2.05,109.6,107.5,-0.1
UT Rio Grande Valley,Slnd,19,14,4.57,111,106.4,66.3,-0.056,-1.23,107.9,109.1,8.31
Saint Joseph's,A10,22,11,4.56,107.3,102.7,68,0.088,1.41,109.2,107.8,-5
Southern Illinois,MVC,16,16,4.55,103.8,99.2,68.9,-0.094,1.8,109.9,108.1,-0.17
UC San Diego,BW,23,11,4.53,107.8,103.3,67.2,0.01,-1.02,107.9,108.9,0.31
Seattle,WCC,20,13,4.49,102.2,97.7,67.6,0.017,1.62,110.6,109,-3.51
Maryland,B10,12,21,4.25,111.1,106.9,66.1,0.016,14.68,117.4,102.7,1.56
San Francisco,WCC,17,16,4.2,113.6,109.4,65.9,-0.006,4.08,110.8,106.8,0.29
Murray St.,MVC,20,12,4.12,116.3,112.2,71.5,0.043,1.16,109.6,108.5,-3.83
Bradley,MVC,21,12,3.96,111.7,107.8,67.3,0.039,0.68,108.9,108.3,-5.41
Rutgers,B10,14,19,3.95,110.5,106.5,66.8,0.043,11.23,115.1,103.9,-7.31
Liberty,CUSA,25,7,3.9,117.6,113.7,63.9,0.142,-1.78,107.6,109.3,0.68
Utah,B12,10,22,3.65,114.7,111,66,-0.012,12.12,115.7,103.5,0.2
UAB,Amer,20,12,3.46,109.8,106.4,69.1,0.006,-0.79,108.7,109.5,-5.46
Duquesne,A10,18,15,3.45,110.7,107.3,68.6,-0.012,2.57,110.4,107.8,-6.41
Florida Atlantic,Amer,18,15,3.31,109.7,106.4,69.6,-0.034,1.9,110,108.1,2.87
UC Santa Barbara,BW,18,14,3.17,113.7,110.6,64.4,-0.067,-1.04,107.3,108.4,-0.47
Toledo,MAC,19,15,3.15,114.5,111.3,67.8,-0.055,-0.8,109.7,110.5,2.12
Fresno St.,MWC,13,19,3.09,107.4,104.3,68.2,-0.078,4.77,112.2,107.5,-3.08
Montana St.,BSky,18,14,3,111,108,65.8,-0.083,0.03,110.5,110.5,6.36
Memphis,Amer,13,19,2.52,107.2,104.7,70.2,-0.053,5.45,112.2,106.8,10.85
Rhode Island,A10,16,16,2.47,105.8,103.4,65.7,-0.048,0.75,109.4,108.7,-5.55
North Texas,Amer,19,14,2.46,103.4,100.9,65,0.01,0.99,110.1,109.1,0.12
Washington St.,WCC,12,20,2.32,113.9,111.6,67.8,-0.094,5.06,111,105.9,5.01
Penn St.,B10,12,20,2.18,114,111.9,67.4,-0.012,10.73,115.7,105,-7.27
St. Bonaventure,A10,17,17,2.17,113.7,111.5,67.3,-0.044,1.44,109.2,107.7,-4.41
Wright State,Horz,23,11,2.04,112.1,110,67.2,0.009,-4.03,109.4,113.4,0.85
Northern Colorado,BSky,20,12,1.87,112.3,110.4,68.7,-0.024,-2.09,109,111.1,-0.22
Navy,PL,26,7,1.84,107.4,105.5,65.1,0.053,-12.12,103.2,115.3,-9.56
Troy,SB,22,11,1.72,110.7,109,64.9,0.024,-3.23,107.5,110.8,4.15
Robert Morris,Horz,22,11,1.69,110.8,109.1,64.4,0.029,-4.53,108.9,113.4,-1.4
Idaho,BSky,21,14,1.53,108.8,107.3,67.7,-0.012,-1.67,109.4,111.1,0.74
Portland St.,BSky,20,11,1.52,103.5,102,68,0.008,-1.99,109.8,111.8,1.41
Bowling Green,MAC,18,14,1.51,107.2,105.7,68.3,-0.095,-3.33,108.2,111.5,-6.4
Kent St.,MAC,24,9,1.5,111.8,110.3,70.2,0.136,-2.62,109.3,111.9,-3.36
William & Mary,CAA,20,12,1.49,111,109.5,72.5,0.024,-2.1,108.2,110.3,0.33
Penn,Ivy,18,11,1.47,107.4,105.9,69,0.068,-0.69,109.2,109.9,0.51
Arkansas St.,SB,20,12,1.39,110.6,109.2,71.9,0.008,-3.82,107.1,111,2.77
Harvard,Ivy,17,12,1.26,106.6,105.3,63,-0.015,-3.38,107.9,111.3,-5.1
Central Arkansas,ASun,22,12,1.25,110.2,108.9,67.9,0.041,-5.42,109,114.5,5.7
UT Arlington,WAC,18,14,1.13,102.6,101.5,64.8,0.03,0.54,108.8,108.2,3.35
Winthrop,BSth,23,11,1.13,111.7,110.5,70,0.025,-4.76,106.8,111.6,1.16
Boston College,ACC,11,20,1.07,103.7,102.7,65.9,-0.035,6.6,113.1,106.5,-7.46
Towson,CAA,19,15,0.99,105.7,104.7,63.4,0.012,-0.99,109,110,2.72
Valparaiso,MVC,18,15,0.97,108.1,107.2,65.1,0.041,0.82,109.2,108.4,-6
UC Davis,BW,19,14,0.89,108,107.1,68.9,0.04,-0.22,108.2,108.4,1.67
Richmond,A10,15,17,0.81,111.3,110.5,67.6,-0.092,-0.14,109.1,109.2,-9.09
Loyola Marymount,WCC,15,17,0.68,106.5,105.8,66.9,-0.045,0.58,109.7,109.1,-5.81
Georgia Tech,ACC,11,20,0.58,107.7,107.1,70.6,-0.039,6.29,111.9,105.6,-9.75
Kennesaw State,CUSA,21,13,0.57,110.6,110.1,71.2,0.009,-2.23,108,110.2,-5.17
Cornell,Ivy,15,13,0.51,119.8,119.3,71.2,-0.032,-1.39,108.3,109.7,-0.68
Temple,Amer,16,16,0.5,111.7,111.2,64.9,-0.073,-1.53,107.5,109.1,-3.15
Fordham,A10,17,15,0.47,104.6,104.1,64.4,-0.056,-2.17,107.8,110,-16.13
East Tennessee St.,SC,23,11,0.44,109.7,109.2,66,-0.021,-8.02,106.7,114.7,-4.26
Cal St. Fullerton,BW,18,16,0.38,109.4,109,72.8,0.047,1.41,109.5,108,6.43
Oakland,Horz,16,16,0.21,115.2,115,69.8,0.016,-0.1,110.4,110.5,17.3
Western Kentucky,CUSA,18,14,0.02,108.5,108.5,69.9,0.008,-0.84,109.6,110.4,1.4
Eastern Washington,BSky,14,19,0,113.1,113.1,67.6,-0.061,0.84,110,109.2,7.55
Charleston,CAA,21,11,-0.19,108,108.2,67.6,0.105,-2.09,108.9,111,-1.58
Austin Peay,ASun,22,9,-0.28,108,108.3,69.4,0.033,-6.6,108.3,114.9,2.1
Texas A&M Corpus Chris,Slnd,18,15,-0.29,104.8,105.1,66,0.003,-0.11,108.7,108.8,16.58
CSUN,BW,20,14,-0.37,108.9,109.3,73.5,0.078,0.04,108,107.9,1.07
Northern Kentucky,Horz,20,14,-0.59,109.5,110.1,70.2,-0.022,-4.38,109.9,114.3,-4.18
Oregon St.,WCC,17,16,-0.66,109.2,109.8,65.1,0.097,3.09,110.2,107.1,-1.69
Middle Tennessee,CUSA,17,15,-0.67,109.1,109.8,65.8,0.012,0.8,109.5,108.7,11.15
Merrimack,MAAC,23,11,-0.83,106.5,107.4,63.4,0.115,-5.77,105.1,110.8,3.26
Monmouth,CAA,19,15,-0.89,106.1,107,67.1,0.013,-2.55,107.2,109.8,-3.68
Queens (N.C.),ASun,21,13,-1.44,115.8,117.2,69.6,0.067,-5.66,108.3,114,5.71
Campbell,CAA,16,18,-1.47,111.2,112.6,69.7,0.009,0.77,109.2,108.4,7.62
Charlotte,Amer,17,17,-1.48,113,114.5,63.4,0.024,0.53,109.3,108.8,-0.9
New Mexico St.,CUSA,16,16,-1.61,108.7,110.3,66.9,-0.061,-1.36,108.3,109.6,0.63
UMBC,AE,24,8,-1.67,108.2,109.9,66.2,0.046,-14.87,100.5,115.4,-6.98
Montana,BSky,18,16,-1.72,106.7,108.5,69.6,0.047,-0.12,110.1,110.2,5.27
Tennessee State,OVC,23,9,-1.83,109.1,110.9,70.2,0.07,-8.26,103.2,111.5,5.4
Utah Tech,WAC,19,15,-1.88,110.9,112.8,66.3,0.099,0.72,107.3,106.6,3.7
Columbia,Ivy,16,12,-1.96,108.5,110.5,66.7,0.012,-3.46,108.1,111.6,-5.42
Mercer,SC,19,13,-1.97,111.8,113.7,68.9,-0.021,-5.39,108.2,113.6,3.98
Furman,SC,22,12,-1.98,107.5,109.4,65.9,0.01,-6.29,108.1,114.4,-0.7
Siena,MAAC,23,11,-2.1,107.1,109.2,64.6,0.005,-9.48,102.9,112.4,-7.72
New Orleans,Slnd,15,18,-2.2,109.7,111.9,69.7,0.038,0.54,108.3,107.7,14.05
FIU,CUSA,15,17,-2.23,107.4,109.6,71.5,-0.051,-1.34,108.6,110,-0.11
Appalachian St.,SB,19,13,-2.33,105.8,108.2,63,0.015,-5.53,107,112.5,-3.28
Massachusetts,MAC,17,16,-2.6,108.7,111.3,69.9,-0.045,-3.66,107.8,111.4,-6.62
Drake,MVC,14,20,-2.64,109.9,112.6,67.2,-0.06,2.04,109.3,107.3,-4.17
Weber St.,BSky,16,16,-2.64,111.6,114.2,68.5,-0.031,-1.95,108.3,110.2,-1.06
Buffalo,MAC,17,15,-2.8,112.5,115.3,66.5,-0.028,-3.6,107.4,111,-6.7
Lipscomb,ASun,19,13,-2.84,106.9,109.7,69.3,0.044,-5.22,108.7,113.9,4.7
Indiana St.,MVC,11,21,-2.87,106.2,109.1,68,-0.11,1.26,108.6,107.4,-5.47
Portland,WCC,15,19,-2.89,106,108.9,68.4,0.064,3.64,111.2,107.6,0.68
Louisiana Tech,CUSA,20,14,-2.9,102.9,105.8,64.3,0.05,-3,108,111,-7.1
Marist,MAAC,19,12,-3.07,99.6,102.6,66.3,-0.027,-8.92,103.9,112.8,-7.3
South Alabama,SB,21,11,-3.14,107,110.2,64.6,0.058,-6.05,105.9,112,-5.32
Missouri St.,CUSA,16,18,-3.15,108.9,112.1,65.5,-0.043,-1.66,108,109.7,-1.13
Howard,MEAC,23,10,-3.19,103.1,106.3,69,-0.01,-14.6,100.5,115.1,-1.69
Marshall,SB,19,13,-3.19,112,115.2,69.3,0.034,-4.24,107.4,111.6,-1.15
Jacksonville St.,CUSA,15,17,-3.38,105.1,108.5,65.3,-0.057,-2.94,107.8,110.7,-6.35
Green Bay,Horz,18,15,-3.5,112.5,116,62.9,0.064,-2.1,110,112.1,6.26
Tulane,Amer,18,15,-3.63,107.7,111.3,66.9,0.121,0.24,108.3,108,-3.76
