team_name,conference,w,l,adj_em,adj_o,adj_d,adj_tempo,luck,sos_adj_em,sos_adj_o,sos_adj_d,ncsos_adj_em
Sacred Heart,MAAC,14,19,-11.56,107.2,118.7,68.4,0.001,-7.53,104,111.5,-2.06
Eastern Kentucky,ASun,11,21,-11.66,109.1,120.8,67.3,-0.017,-4.08,108.8,112.9,2.99
Grambling St.,SWAC,14,19,-11.78,96.9,108.6,67.6,-0.053,-9.21,103.2,112.4,2.12
Le Moyne,NEC,15,17,-11.81,102,113.8,69.5,-0.018,-10.61,102.6,113.2,-1.71
UNC Greensboro,SC,15,19,-12.22,107.6,119.8,67.6,0.056,-6.15,108,114.1,-0.91
Chattanooga,SC,13,19,-12.27,105.4,117.6,67.2,-0.029,-7.06,107.7,114.7,-2.61
USC Upstate,BSth,13,19,-12.4,99,111.4,67.5,0.025,-5.55,106,111.6,-1.4
Stetson,ASun,12,21,-12.55,105.2,117.8,66.7,0.008,-3.87,108.5,112.4,4.73
West Georgia,ASun,15,17,-12.55,101.6,114.1,69.2,0.072,-6.67,108.6,115.3,0.26
Wagner,NEC,14,17,-12.68,102.5,115.2,65.4,-0.001,-9,103.2,112.2,6.39
Central Connecticut,NEC,18,12,-12.71,104.7,117.4,65,0.116,-11.11,102.1,113.2,-2
Alabama A&M,SWAC,18,15,-12.73,104,116.7,65.3,0.058,-10.88,102,112.9,-2.06
Evansville,MVC,7,25,-12.85,101.9,114.8,67,-0.011,4.51,110.8,106.3,3.65
Oral Roberts,Sum,10,23,-12.9,102,114.9,67.7,-0.055,-1.72,109.6,111.3,5.57
Georgia St.,SB,10,22,-12.94,99.3,112.3,67.8,-0.04,-3.99,107.1,111.1,-0.36
Little Rock,OVC,12,20,-12.96,102.7,115.7,66.6,-0.033,-6.45,103.4,109.9,4.63
Florida A&M,SWAC,15,16,-13.01,97.9,110.9,68.2,0.071,-8.87,103.8,112.7,7.93
Louisiana,SB,11,22,-13.28,100.1,113.4,63.2,0.033,-4.52,106.4,110.9,-1.95
Arkansas Pine Bluff,SWAC,13,19,-13.31,104,117.3,68.9,0.025,-5.57,105.8,111.4,14.44
Tennessee Tech,OVC,13,18,-13.33,102.5,115.8,66.8,-0.028,-7.61,103.4,111,2.97
Texas Southern,SWAC,12,18,-13.35,101.7,115,68.7,-0.033,-8.63,103.9,112.5,12.43
IU Indy,Horz,7,25,-13.89,105.4,119.3,73.2,-0.033,-3.45,109,112.4,-1.04
Alabama St.,SWAC,10,22,-14.43,99.2,113.6,69.5,-0.071,-6.82,104.1,110.9,8.17
Northern Arizona,BSky,10,22,-14.48,105.1,119.6,63.8,0.031,-1.07,109.4,110.5,0.15
Cleveland St.,Horz,11,22,-14.62,109.4,124,69.7,0.04,-1.94,109.8,111.7,4.35
UMass Lowell,AE,15,18,-14.62,102.6,117.3,69.1,0.017,-9.15,103.6,112.7,2.1
Loyola MD,PL,12,20,-14.81,104.2,119,68.2,-0.027,-9.24,103.9,113.1,-6.79
Eastern Illinois,OVC,13,20,-14.86,96.9,111.7,65.6,0.037,-6.12,104.5,110.7,12.54
Albany,AE,11,21,-14.94,103.3,118.2,65.2,-0.086,-7.35,104.7,112.1,4.23
Lafayette,PL,11,21,-15.18,100.7,115.9,66.7,0.009,-7.58,105.2,112.8,-0.65
Cal St. Bakersfield,BW,8,24,-15.28,101.9,117.2,70.1,0.012,0.43,107.9,107.5,0.65
Norfolk St.,MEAC,15,17,-15.38,101.4,116.7,68.2,-0.019,-11.9,101.2,113.1,0.43
New Haven,NEC,14,17,-16.09,96.1,112.2,63.3,0.041,-9.45,102.9,112.3,2.92
Holy Cross,PL,11,22,-16.42,100.8,117.2,65.5,-0.007,-7.04,106,113,-0.06
Manhattan,MAAC,12,20,-16.46,104.4,120.8,67.8,0.053,-8.18,103.3,111.5,-2.87
Bucknell,PL,10,23,-16.62,98.2,114.8,66.9,0.015,-5.96,106.8,112.8,2.1
NJIT,AE,16,17,-16.85,96.5,113.4,67.8,0.115,-9.24,103.3,112.6,1.04
Northern Illinois,MAC,9,21,-17.23,97,114.3,67.4,0.014,-1.05,109.1,110.1,2.27
Stonehill,NEC,12,21,-17.32,91.7,109,66.3,-0.007,-10.34,102.9,113.3,-3.34
North Florida,ASun,7,25,-17.47,106.9,124.4,70.4,-0.029,-3.4,108,111.4,7.94
Fairleigh Dickinson,NEC,11,21,-17.63,100.8,118.4,63.8,-0.006,-8.56,103.3,111.9,5.28
Army,PL,11,21,-18.39,100.1,118.5,67.1,0.044,-7.79,105.6,113.4,-1.92
Niagara,MAAC,8,22,-18.48,99.6,118.1,62.1,-0.038,-8.22,103.8,112,-3.94
Southern Indiana,OVC,7,23,-18.61,95.5,114.1,67.5,-0.105,-8.24,103.6,111.8,-1.67
UTSA,Amer,5,25,-18.65,99.6,118.3,68.5,-0.001,1.43,109.8,108.4,1.71
Jackson St.,SWAC,12,21,-18.86,100,118.8,69.4,0.101,-6.29,104.9,111.2,13.66
Canisius,MAAC,10,21,-19.22,95.3,114.5,64.2,0.019,-7.87,104.3,112.1,-3.35
North Alabama,ASun,9,21,-19.27,99.5,118.8,64.8,0.057,-4.77,108.7,113.5,1.83
Chicago St.,NEC,7,25,-19.58,99.4,119,65.3,-0.032,-4.58,105.6,110.2,10.64
Air Force,MWC,3,29,-19.95,95.6,115.5,66.3,0,5.07,112.1,107,-4.86
Alcorn St.,SWAC,9,23,-20.17,96.3,116.5,67.2,0.039,-5.18,105.5,110.7,13.47
The Citadel,SC,11,22,-20.29,100.6,120.9,64.3,0.028,-5.68,107.9,113.5,-1.93
Maine,AE,8,24,-20.33,91.6,111.9,64.7,-0.031,-9.19,103.8,113,-1.43
New Hampshire,AE,9,21,-20.71,95.3,116,67.4,-0.002,-8.07,104.2,112.2,5.28
Maryland Eastern Shore,MEAC,9,23,-20.85,94.6,115.5,63.1,-0.052,-9.26,103.6,112.8,5.04
Louisiana Monroe,SB,4,28,-21.05,101.2,122.2,70.1,-0.099,-3.72,106.5,110.3,-1.35
North Carolina Central,MEAC,14,18,-21.14,100.1,121.2,65.7,0.071,-10.33,102,112.3,9.3
Morgan St.,MEAC,14,16,-21.78,99.4,121.2,70.7,0.103,-12.77,100.4,113.2,-1.54
Saint Francis,NEC,7,24,-22.26,99.5,121.8,69.9,-0.025,-6.79,104.9,111.7,7.36
Bryant,AE,9,22,-23.01,96.6,119.6,64.2,0.009,-7.96,103.4,111.4,2.45
South Carolina St.,MEAC,10,22,-23.55,95.2,118.8,68.7,0.033,-8.89,103.8,112.7,3.27
Rider,MAAC,4,25,-24.43,95.7,120.1,65.8,-0.024,-5,105.6,110.6,11.12
Kansas City,Sum,4,27,-25.1,92,117.1,69.8,-0.017,-1.61,110,111.6,5.94
Binghamton,AE,8,23,-25.5,97.6,123.1,65.3,-0.019,-12.28,101.6,113.9,-8.23
VMI,SC,6,26,-26.28,98.6,124.9,66.7,-0.011,-5.72,108.3,114,-2.04
